REGIÓN;PROVINCIA;DISTRITO;CODIGO DEL RECURSO;NOMBRE DEL RECURSO;CATEGORÍA;TIPO DE CATEGORÍA;SUB TIPO CATEGORÍA;URL;LATITUD;LONGITUD;FECHA_DE_CORTE
Cajamarca;Hualgayoc;BAMBAMARCA;6304;Gruta De Atoshaico;1. SITIOS NATURALES;Cavidades naturales;Grutas;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6304;;;20230102
Cajamarca;Cutervo;CHOROS;6305;Restos Fosiles Petrificados;1. SITIOS NATURALES;o. Otros;;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6305;-78.68523299999998;-5.901609;20230102
Cajamarca;Hualgayoc;BAMBAMARCA;6306;Aguas Termales El Bom Bom;1. SITIOS NATURALES;Agua termo-mineral;Aguas Termales;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6306;;;20230102
Cajamarca;San Miguel;SAN SILVESTRE DE COCHAN;6308;Catarata La Paccha;1. SITIOS NATURALES;Caídas de agua;Cataratas;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6308;-78.46779500000002;-7.110292;20230102
Cajamarca;Cutervo;SOCOTA;6309;Bosque De Piedras El Pilco;1. SITIOS NATURALES;a. Montañas;Bosque de Piedra;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6309;;;20230102
Cajamarca;Cutervo;SOCOTA;6310;Gruta Carrizal;1. SITIOS NATURALES;Cavidades naturales;Grutas;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6310;;;20230102
Arequipa;Arequipa;TIABAYA;6311;Bajada De Reyes Y Tradicional Sacudida De Perales;5. ACONTECIMIENTOS PROGRAMADOS;Fiestas;Fiestas religiosas-patronales;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6311;-71.5909;-16.4491;20230102
Cajamarca;San Miguel;SAN SILVESTRE DE COCHAN;6312;Ventanillas El Molino;2. MANIFESTACIONES CULTURALES;Sitios Arqueológicos;Templos;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6312;;;20230102
Cajamarca;San Ignacio;HUARANGO;6313;Catarata Bella Encantadora;1. SITIOS NATURALES;Caídas de agua;Cataratas;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6313;-78.74371;-5.16226;20230102
Cajamarca;Cutervo;CUTERVO;6314;El Aguardiente;3. FOLCLORE;Gastronomía;Bebidas Típicas;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6314;;;20230102
Cajamarca;Cajamarca;CAJAMARCA;6315;Capilla Virgen Del Arco (San Pedro);2. MANIFESTACIONES CULTURALES;Arquitectura y Espacios Urbanos;Capilla;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6315;-78.52203600000001;-7.156165;20230102
Cajamarca;San Miguel;SAN SILVESTRE DE COCHAN;6319;Cataratas Las Guayanas;1. SITIOS NATURALES;Caídas de agua;Cataratas;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6319;;;20230102
Cajamarca;San Miguel;SAN SILVESTRE DE COCHAN;6321;Catarata La Peña El Toro;1. SITIOS NATURALES;Caídas de agua;Cataratas;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6321;;;20230102
